model_name,confidence_bucket,games,avg_confidence,accuracy,calibration_gap_confidence_minus_accuracy,brier_score,log_loss
better_last_10_baseline,50-60,4729,0.5488129154795821,0.5290759145696765,0.0197370009099056,0.24954414039685446,0.692240176049917
better_record_baseline,50-60,4729,0.5670465337132004,0.5413406639881582,0.025705869725042185,0.24895174123933902,0.6910652960471891
better_run_differential_baseline,50-60,4729,0.5589743589743589,0.5383802072319729,0.02059415174238599,0.24895107877881922,0.6910558377185773
elo_baseline,50-60,2142,0.5487441945666192,0.5130718954248366,0.035672299141782604,0.25180629877407484,0.696829318691655
elo_baseline,60-70,1622,0.646086742230334,0.5419235511713933,0.10416319105894067,0.25898316455296655,0.712584301393525
elo_baseline,70-80,781,0.7391860217992118,0.6005121638924455,0.13867385790676623,0.2590352704536362,0.7189156078526647
elo_baseline,80-90,178,0.8344763516604474,0.7528089887640449,0.08166736289640253,0.19255914927636983,0.5807138503048058
elo_baseline,90-100,6,0.9046628444324886,0.8333333333333334,0.0713295110991552,0.14377737762568632,0.4740148666382203
home_team_baseline,50-60,4729,0.5200379867046534,0.5259039966166208,-0.005866009911967396,0.2493633930315734,0.6918734995713984
legacy_full,50-60,3357,0.5466043751420638,0.5195114685731308,0.02709290656893304,0.24945149812675727,0.6920532280369017
legacy_full,60-70,1257,0.6376670208686857,0.6372315035799523,0.0004355172887333669,0.22944443607266563,0.651290743687319
legacy_full,70-80,115,0.722807651958964,0.782608695652174,-0.05980104369320993,0.1730788899152991,0.5310785237243479
pregame_safe,50-60,3282,0.5280537914445654,0.5237659963436929,0.004287795100872516,0.24859427381568,0.690326703568898
pregame_safe,60-70,1256,0.6151151354898052,0.5931528662420382,0.021962269247767008,0.24057606845621962,0.6740814145079317
pregame_safe,70-80,7,0.735152252307621,0.7142857142857143,0.020866538021906744,0.20549121323456365,0.6021748466346211
pregame_safe,80-90,172,0.8173076923076924,0.7616279069767442,0.055679785330948195,0.18465107678546852,0.558871638989887
pregame_safe,90-100,12,0.9999990000000002,0.75,0.2499990000000002,0.249999500001,3.4538783894842555
