model_name,accuracy,brier_score,log_loss,high_confidence_accuracy,high_confidence_games,games_predicted,games_excluded,avg_winner_confidence
legacy_full,0.5572002537534363,0.24227625453481164,0.6773036966722644,0.6494169096209913,1372,4729,0,0.5750943566418116
pregame_safe,0.5517022626348065,0.2440787410327402,0.6881129592390778,0.6150656530753282,1447,4729,0,0.5632015501246216
better_run_differential_baseline,0.5383802072319729,0.24895107877881922,0.6910558377185773,,0,4729,0,0.5589743589743589
better_record_baseline,0.5413406639881582,0.24895174123933902,0.6910652960471891,,0,4729,0,0.5670465337132004
home_team_baseline,0.5259039966166208,0.2493633930315734,0.6918734995713984,,0,4729,0,0.5200379867046534
better_last_10_baseline,0.5290759145696765,0.24954414039685446,0.692240176049917,,0,4729,0,0.5488129154795821
elo_baseline,0.5468386551067879,0.25309463394802656,0.7012274015193145,0.5747970622342482,2587,4729,0,0.6247899791386422
