model_name,team_id,games,accuracy_when_in_game,avg_model_p_team_win,model_pick_rate,actual_team_win_rate
better_last_10_baseline,138,315,0.45714285714285713,0.49488626599737706,0.44761904761904764,0.49523809523809526
better_last_10_baseline,135,312,0.46794871794871795,0.5143935520003896,0.6474358974358975,0.5641025641025641
better_last_10_baseline,111,314,0.4681528662420382,0.5003109102896789,0.5031847133757962,0.5191082802547771
better_last_10_baseline,112,313,0.48242811501597443,0.509513060205286,0.597444089456869,0.5399361022364217
better_last_10_baseline,139,315,0.49206349206349204,0.49953511509067067,0.49523809523809526,0.48253968253968255
better_last_10_baseline,158,317,0.49842271293375395,0.5180161233788994,0.6845425867507886,0.5930599369085173
better_last_10_baseline,144,315,0.5047619047619047,0.5097625830959164,0.6,0.5111111111111111
better_last_10_baseline,120,316,0.5063291139240507,0.48918701239376344,0.38924050632911394,0.43354430379746833
better_last_10_baseline,110,315,0.5079365079365079,0.5032541943653055,0.5333333333333333,0.5111111111111111
better_last_10_baseline,136,314,0.5095541401273885,0.5037309234761465,0.5382165605095541,0.5445859872611465
better_last_10_baseline,109,315,0.5111111111111111,0.5057335805483953,0.5587301587301587,0.5206349206349207
better_last_10_baseline,118,317,0.5173501577287066,0.4992300801974829,0.4921135646687697,0.5205047318611987
better_last_10_baseline,117,316,0.5189873417721519,0.5049430800485653,0.5506329113924051,0.5506329113924051
better_last_10_baseline,121,316,0.5253164556962026,0.5067967350667772,0.569620253164557,0.5443037974683544
better_last_10_baseline,146,314,0.5254777070063694,0.4863199472541298,0.35987261146496813,0.445859872611465
better_last_10_baseline,141,315,0.526984126984127,0.5044938874568504,0.546031746031746,0.5238095238095238
better_last_10_baseline,119,312,0.5288461538461539,0.5131419387829644,0.6346153846153846,0.5801282051282052
better_last_10_baseline,134,315,0.5301587301587302,0.4896175703583111,0.39365079365079364,0.4507936507936508
better_last_10_baseline,140,315,0.5301587301587302,0.49736565218046697,0.473015873015873,0.4857142857142857
better_last_10_baseline,114,316,0.5379746835443038,0.507414620072848,0.5759493670886076,0.5569620253164557
better_last_10_baseline,137,316,0.5379746835443038,0.5006178850060706,0.5063291139240507,0.4936708860759494
better_last_10_baseline,143,317,0.5394321766561514,0.5106248932747355,0.6088328075709779,0.583596214511041
better_last_10_baseline,133,314,0.5414012738853503,0.49471452507545927,0.445859872611465,0.45222929936305734
better_last_10_baseline,108,316,0.5443037974683544,0.4823902773269862,0.31962025316455694,0.41455696202531644
better_last_10_baseline,113,316,0.5506329113924051,0.499073172490894,0.49050632911392406,0.49050632911392406
better_last_10_baseline,116,317,0.5615141955835962,0.50631334238064,0.5646687697160884,0.5299684542586751
better_last_10_baseline,147,316,0.5632911392405063,0.506487792563742,0.5664556962025317,0.5664556962025317
better_last_10_baseline,142,316,0.5759493670886076,0.497219517472682,0.47151898734177217,0.47151898734177217
better_last_10_baseline,115,316,0.6044303797468354,0.4731220022359263,0.22468354430379747,0.3227848101265823
better_last_10_baseline,145,317,0.7034700315457413,0.4721289031488821,0.21451104100946372,0.3028391167192429
better_record_baseline,113,316,0.4778481012658228,0.4915130969983291,0.43670886075949367,0.49050632911392406
better_record_baseline,138,315,0.4857142857142857,0.48829346236753646,0.4126984126984127,0.49523809523809526
better_record_baseline,111,314,0.49044585987261147,0.5068327677669503,0.5509554140127388,0.5191082802547771
better_record_baseline,139,315,0.49523809523809526,0.48786777008999227,0.4095238095238095,0.48253968253968255
better_record_baseline,144,315,0.5015873015873016,0.5078753071345663,0.5587301587301587,0.5111111111111111
better_record_baseline,136,314,0.5031847133757962,0.524768783155195,0.6847133757961783,0.5445859872611465
better_record_baseline,135,312,0.5032051282051282,0.5227786300435873,0.6698717948717948,0.5641025641025641
better_record_baseline,109,315,0.5047619047619047,0.489996231477713,0.4253968253968254,0.5206349206349207
better_record_baseline,134,315,0.5174603174603175,0.45679223382927087,0.17777777777777778,0.4507936507936508
better_record_baseline,121,316,0.5221518987341772,0.522490292954428,0.6677215189873418,0.5443037974683544
better_record_baseline,108,316,0.5253164556962026,0.4707201846442353,0.28164556962025317,0.41455696202531644
better_record_baseline,117,316,0.5316455696202531,0.5212172575041774,0.6582278481012658,0.5506329113924051
better_record_baseline,146,314,0.5318471337579618,0.4521706256313475,0.14331210191082802,0.445859872611465
better_record_baseline,116,317,0.5331230283911672,0.5124786923945704,0.5930599369085173,0.5299684542586751
better_record_baseline,140,315,0.5333333333333333,0.4951045388082425,0.4634920634920635,0.4857142857142857
better_record_baseline,114,316,0.5348101265822784,0.5284311250555975,0.7120253164556962,0.5569620253164557
better_record_baseline,147,316,0.5348101265822784,0.5305528508060153,0.7278481012658228,0.5664556962025317
better_record_baseline,110,315,0.5428571428571428,0.49553023108578664,0.4666666666666667,0.5111111111111111
better_record_baseline,133,314,0.5477707006369427,0.4568681534711259,0.17834394904458598,0.45222929936305734
better_record_baseline,137,316,0.5506329113924051,0.5118816642023393,0.5886075949367089,0.4936708860759494
better_record_baseline,112,313,0.5527156549520766,0.52934624638565,0.7188498402555911,0.5399361022364217
better_record_baseline,142,316,0.5569620253164557,0.4995756548499165,0.49683544303797467,0.47151898734177217
better_record_baseline,120,316,0.560126582278481,0.46944714919398467,0.2721518987341772,0.43354430379746833
better_record_baseline,143,317,0.5615141955835962,0.5522413054484558,0.889589905362776,0.583596214511041
better_record_baseline,158,317,0.5646687697160884,0.546319214142558,0.8454258675078864,0.5930599369085173
better_record_baseline,141,315,0.5650793650793651,0.49936146158368383,0.49523809523809526,0.5238095238095238
better_record_baseline,118,317,0.5709779179810726,0.5154397380475193,0.6151419558359621,0.5205047318611987
better_record_baseline,119,312,0.592948717948718,0.5412594053619695,0.8076923076923077,0.5801282051282052
better_record_baseline,115,316,0.6550632911392406,0.4376212629377187,0.03481012658227848,0.3227848101265823
better_record_baseline,145,317,0.6908517350157729,0.43549150541789877,0.01892744479495268,0.3028391167192429
better_run_differential_baseline,139,315,0.48253968253968255,0.4953194953194953,0.4603174603174603,0.48253968253968255
better_run_differential_baseline,144,315,0.4857142857142857,0.5117948717948718,0.6,0.5111111111111111
better_run_differential_baseline,113,316,0.4936708860759494,0.5033592989289192,0.5284810126582279,0.49050632911392406
better_run_differential_baseline,109,315,0.49523809523809526,0.5073015873015874,0.5619047619047619,0.5206349206349207
better_run_differential_baseline,111,314,0.4968152866242038,0.50525886003593,0.5445859872611465,0.5191082802547771
better_run_differential_baseline,110,315,0.5111111111111111,0.49756613756613755,0.4793650793650794,0.5111111111111111
better_run_differential_baseline,117,316,0.5126582278481012,0.509704641350211,0.5822784810126582,0.5506329113924051
better_run_differential_baseline,135,312,0.5128205128205128,0.5219263642340566,0.6858974358974359,0.5641025641025641
better_run_differential_baseline,137,316,0.5189873417721519,0.5037325543654657,0.5316455696202531,0.4936708860759494
better_run_differential_baseline,136,314,0.5191082802547771,0.5101420872121509,0.5859872611464968,0.5445859872611465
better_run_differential_baseline,146,314,0.5222929936305732,0.47032500408296585,0.2484076433121019,0.445859872611465
better_run_differential_baseline,138,315,0.5238095238095238,0.4829629629629629,0.35555555555555557,0.49523809523809526
better_run_differential_baseline,114,316,0.5253164556962026,0.505225576111652,0.5443037974683544,0.5569620253164557
better_run_differential_baseline,140,315,0.5301587301587302,0.4983150183150183,0.4857142857142857,0.4857142857142857
better_run_differential_baseline,141,315,0.5301587301587302,0.502059422059422,0.5174603174603175,0.5238095238095238
better_run_differential_baseline,121,316,0.5348101265822784,0.5145569620253164,0.6234177215189873,0.5443037974683544
better_run_differential_baseline,116,317,0.5362776025236593,0.5098600663269433,0.583596214511041,0.5299684542586751
better_run_differential_baseline,142,316,0.5379746835443038,0.5011197663096397,0.509493670886076,0.47151898734177217
better_run_differential_baseline,112,313,0.5399361022364217,0.5182763987875809,0.6549520766773163,0.5399361022364217
better_run_differential_baseline,143,317,0.5425867507886435,0.5169295478443744,0.6435331230283912,0.583596214511041
better_run_differential_baseline,147,316,0.5474683544303798,0.5276209023044466,0.7341772151898734,0.5664556962025317
better_run_differential_baseline,119,312,0.5480769230769231,0.520414201183432,0.6730769230769231,0.5801282051282052
better_run_differential_baseline,118,317,0.5520504731861199,0.5061392865809269,0.5520504731861199,0.5205047318611987
better_run_differential_baseline,108,316,0.5537974683544303,0.4746186303148328,0.2848101265822785,0.41455696202531644
better_run_differential_baseline,134,315,0.5555555555555556,0.476971916971917,0.3047619047619048,0.4507936507936508
better_run_differential_baseline,120,316,0.569620253164557,0.47648490749756567,0.30063291139240506,0.43354430379746833
better_run_differential_baseline,158,317,0.5709779179810726,0.5399983822696757,0.8391167192429022,0.5930599369085173
better_run_differential_baseline,133,314,0.5923566878980892,0.48234525559366326,0.3503184713375796,0.45222929936305734
better_run_differential_baseline,115,316,0.6487341772151899,0.4511035378123986,0.08544303797468354,0.3227848101265823
better_run_differential_baseline,145,317,0.6593059936908517,0.45888538380651944,0.15141955835962145,0.3028391167192429
elo_baseline,144,315,0.4888888888888889,0.546748327757743,0.6476190476190476,0.5111111111111111
elo_baseline,111,314,0.49363057324840764,0.5156460079838701,0.554140127388535,0.5191082802547771
elo_baseline,139,315,0.5047619047619047,0.48246542946427606,0.40634920634920635,0.48253968253968255
elo_baseline,109,315,0.5079365079365079,0.5267183700122242,0.5555555555555556,0.5206349206349207
elo_baseline,138,315,0.5111111111111111,0.4816306510458723,0.4507936507936508,0.49523809523809526
elo_baseline,135,312,0.5160256410256411,0.5583704617777919,0.657051282051282,0.5641025641025641
elo_baseline,146,314,0.5191082802547771,0.4107462616110665,0.23885350318471338,0.445859872611465
elo_baseline,121,316,0.5221518987341772,0.5555457925051994,0.6993670886075949,0.5443037974683544
elo_baseline,116,317,0.526813880126183,0.5293488167611324,0.5615141955835962,0.5299684542586751
elo_baseline,110,315,0.526984126984127,0.4987002606283214,0.49523809523809526,0.5111111111111111
elo_baseline,141,315,0.526984126984127,0.5133145024435787,0.5206349206349207,0.5238095238095238
elo_baseline,113,316,0.5284810126582279,0.4811357314692028,0.3987341772151899,0.49050632911392406
elo_baseline,137,316,0.5348101265822784,0.5124979349382911,0.5537974683544303,0.4936708860759494
