model_name,month,games,accuracy,brier_score,log_loss,avg_winner_confidence
better_last_10_baseline,2024-04,394,0.5304568527918782,0.24940932515540876,0.6919696840366606,0.548812915479582
better_last_10_baseline,2024-05,413,0.5351089588377724,0.24895515943696814,0.6910584502754356,0.548812915479582
better_last_10_baseline,2024-06,407,0.542997542997543,0.24818502985327928,0.6895132696317157,0.548812915479582
better_last_10_baseline,2024-07,364,0.4835164835164835,0.2539919177114492,0.7011641539877185,0.548812915479582
better_last_10_baseline,2024-08,409,0.5403422982885085,0.24844425032439865,0.6900333671100012,0.548812915479582
better_last_10_baseline,2024-09,388,0.5025773195876289,0.25213108775122717,0.6974306025222414,0.548812915479582
better_last_10_baseline,2025-04,392,0.5127551020408163,0.2511374732819132,0.6954370239377777,0.548812915479582
better_last_10_baseline,2025-05,412,0.5388349514563107,0.24859140631143561,0.6903286194773858,0.548812915479582
better_last_10_baseline,2025-06,397,0.5264483627204031,0.24980065732952808,0.6927548491744776,0.5488129154795819
better_last_10_baseline,2025-07,361,0.518005540166205,0.25062489489702244,0.694408591560296,0.548812915479582
better_last_10_baseline,2025-08,420,0.5333333333333333,0.24912850635231135,0.6914062518713094,0.548812915479582
better_last_10_baseline,2025-09,372,0.5806451612903226,0.2445096498338132,0.6821390222522153,0.548812915479582
better_record_baseline,2024-04,394,0.5253807106598984,0.2510918603371075,0.6953714688713183,0.5670465337132004
better_record_baseline,2024-05,413,0.5641646489104116,0.24589120309022008,0.6849071311961358,0.5670465337132004
better_record_baseline,2024-06,407,0.5700245700245701,0.24510542829314588,0.6833260593386982,0.5670465337132004
better_record_baseline,2024-07,364,0.5,0.2544952376829553,0.7022194667478043,0.5670465337132004
better_record_baseline,2024-08,409,0.5599022004889975,0.24646276787379434,0.6860571871630318,0.5670465337132004
better_record_baseline,2024-09,388,0.5618556701030928,0.24620082114111605,0.6855301193457289,0.5670465337132004
better_record_baseline,2025-04,392,0.5408163265306123,0.24902205125738788,0.691206768121945,0.5670465337132002
better_record_baseline,2025-05,412,0.529126213592233,0.2505896143598562,0.6943608905439145,0.5670465337132004
