model_name,pitcher_availability,games,accuracy,brier_score,log_loss,avg_winner_confidence
better_last_10_baseline,both_probable_pitchers_known,4717,0.5287258850964596,0.2495783123150374,0.692308738260295,0.548812915479582
better_last_10_baseline,one_or_more_probable_pitchers_missing,12,0.6666666666666666,0.23611172889108945,0.6652895138538621,0.548812915479582
better_record_baseline,both_probable_pitchers_known,4717,0.5410218359126564,0.24899449387396475,0.6911513194061587,0.5670465337132004
better_record_baseline,one_or_more_probable_pitchers_missing,12,0.6666666666666666,0.23214639311188848,0.6572509473588791,0.5670465337132004
better_run_differential_baseline,both_probable_pitchers_known,4717,0.5382658469366123,0.24896456742904122,0.6910829411755901,0.5589743589743588
better_run_differential_baseline,one_or_more_probable_pitchers_missing,12,0.5833333333333334,0.24364891518737666,0.6804019204911183,0.5589743589743589
elo_baseline,both_probable_pitchers_known,4717,0.5461098155607378,0.25328955098677647,0.7016410106131264,0.6248713680351365
elo_baseline,one_or_more_probable_pitchers_missing,12,0.8333333333333334,0.17647599463277683,0.538644560226751,0.592797360408307
home_team_baseline,both_probable_pitchers_known,4717,0.5259698961204156,0.24936075204481156,0.6918682147673831,0.5200379867046534
home_team_baseline,one_or_more_probable_pitchers_missing,12,0.5,0.2504015209111759,0.6939508679497818,0.5200379867046534
legacy_full,both_probable_pitchers_known,4717,0.5571337714649142,0.2423295629224145,0.6774130614567012,0.5751020029154368
legacy_full,one_or_more_probable_pitchers_missing,12,0.5833333333333334,0.221321615841255,0.6343142226565446,0.5720887339176448
pregame_safe,both_probable_pitchers_known,4717,0.5514097943608226,0.2441200642185523,0.6882145960262427,0.5632260739434368
pregame_safe,one_or_more_probable_pitchers_missing,12,0.6666666666666666,0.2278352854097324,0.6481612321510345,0.5535616456787005
